date_key	buyer_code_sahamdari	buyer_code_melli	buyer_mahal_sodoor	type_of_buyer	buyer_broker_name	buyer_broker_code	seller_code_sahamdari	seller_code_melli	seller_mahal_sodoor	type_of_seller	seller_broker_name	seller_broker_code	number_of_units	price
14020301	xxxx	yyyy	تهران	حقوقی ایرانی	بازارگردان‌الکترونیکی‌الگوریتمی‌تامین‌سرمایه	Nv	ssss	zzzz	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	4999	19440
14020301	xxxx	yyyy	ملایر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	260	19440
14020303	xxxx	yyyy	ملکان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	بم	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	2	19600
14020301	xxxx	yyyy	تهران	حقوقی ایرانی	بازارگردان‌الکترونیکی‌الگوریتمی‌تامین‌سرمایه	Nv	ssss	zzzz	نی‌ ریز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	486	19410
14020301	xxxx	yyyy	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	نی‌ ریز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	514	19410
14020301	xxxx	yyyy	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	نی‌ ریز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	200	19390
14020301	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌پاسارگاد1	4W	ssss	zzzz	نی‌ ریز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	300	19420
14020302	xxxx	yyyy	رشت	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	قوچان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	694	19790
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	باختران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	520	19600
14020302	xxxx	yyyy	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌3-پویااندیش	Jk	ssss	zzzz	باختران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	2243	19600
